,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,21.212735056877136,1.9658061265945435,8263.979440450668,14.912388563156128,euclidean,5,"{'metric': 'euclidean', 'n_neighbors': 5}",0.8574904955100511,0.857572276011186,0.8575313857606186,4.089025056747131e-05,11
1,21.210235118865967,1.9663069248199463,8246.638706564903,1.3432000875473022,euclidean,7,"{'metric': 'euclidean', 'n_neighbors': 7}",0.8614498685528043,0.8617410869226995,0.8615954777377519,0.00014560918494760378,7
2,21.209734320640564,1.9688068628311157,8234.347840547562,5.4732825756073,euclidean,9,"{'metric': 'euclidean', 'n_neighbors': 9}",0.863403624671382,0.8637307466759219,0.863567185673652,0.00016356100226994075,4
3,21.199732542037964,1.974808931350708,8240.812297344208,11.776424407958984,euclidean,11,"{'metric': 'euclidean', 'n_neighbors': 11}",0.863938189898313,0.8644408407833375,0.8641895153408252,0.0002513254425122735,1
4,21.210734605789185,1.9678065776824951,42356.54385101795,44.30019986629486,manhattan,5,"{'metric': 'manhattan', 'n_neighbors': 5}",0.8572411647139079,0.8578784542288498,0.8575598094713788,0.0003186447574709539,10
5,21.214235186576843,1.9563039541244507,42366.41372311115,18.597673773765564,manhattan,7,"{'metric': 'manhattan', 'n_neighbors': 7}",0.8612843129041652,0.8617470708618069,0.861515691882986,0.000231378978820862,9
6,4.954694390296936,1.9701465368270874,39120.00576412678,2.135236382484436,manhattan,9,"{'metric': 'manhattan', 'n_neighbors': 9}",0.8628870112617734,0.8636639260225555,0.8632754686421644,0.0003884573803910607,6
7,0.6713011264801025,0.01700305938720703,39128.51810860634,8.779255151748657,manhattan,11,"{'metric': 'manhattan', 'n_neighbors': 11}",0.8636170518328805,0.8644697631556901,0.8640434074942853,0.0004263556614048092,3
8,0.6818174123764038,0.012446999549865723,8103.368479609489,8.128090262413025,minkowski,5,"{'metric': 'minkowski', 'n_neighbors': 5}",0.8574904955100511,0.857572276011186,0.8575313857606186,4.089025056747131e-05,11
9,2.2550750970840454,1.4928680658340454,8111.229092121124,4.533034801483154,minkowski,7,"{'metric': 'minkowski', 'n_neighbors': 7}",0.8614498685528043,0.8617410869226995,0.8615954777377519,0.00014560918494760378,7
10,0.7236337661743164,0.005873441696166992,8095.665675163269,7.539373874664307,minkowski,9,"{'metric': 'minkowski', 'n_neighbors': 9}",0.863403624671382,0.8637307466759219,0.863567185673652,0.00016356100226994075,4
11,0.7175565958023071,0.0007702112197875977,8102.347551584244,18.615618228912354,minkowski,11,"{'metric': 'minkowski', 'n_neighbors': 11}",0.863938189898313,0.8644408407833375,0.8641895153408252,0.0002513254425122735,1
